"Carimbo de data/hora","Em uma escala de 1 a 5, onde 1 é ""nada relevante"" e 5 é ""extremamente relevante"", quão relevante você considera o PPE na inserção de jovens no mundo do trabalho na Bahia?","Qual sua principal atribuição como Ponto Focal do PPE? ","Em uma escala de 1 a 5, onde 1 é ""nada desafiador e 5 é ""extremamente desafiador"", avalie o nível geral de desafio do seu papel como ponto focal","Em sua experiência, quais são os 3 principais desafios que você enfrenta como Ponto Focal?","E quais são as 3 principais facilidades ou melhores aspectos do seu papel como Ponto Focal?","Em uma escala de 1 a 5, onde 1 é ""Muito insatisfatório"" e 5 é ""Muito satisfatório"", avalie o processo de acolhimento dos beneficiários/trabalhadores educandos do PPE? jovens no seu orgão/instituição","O seu órgão possui protocolos ou diretrizes padronizadas para o acolhimento de novos beneficiários/trabalhadores educandos do PPE?","Em que medida você acredita que o processo de acolhimento contribui para a integração dos jovens na equipe de trabalho?","De que forma o jovem é geralmente inserido na cultura organizacional do seu orgão?","Em uma escala de 1 a 5, onde 1 é ""muito insatisfatório"" e 5 é ""muito satisfatório"", avalie a clareza e frequência da comunicação entre a entidade parceira do PPE, FLEM ou FESFSUS com você como Ponto Focal.","Quais canais de comunicação são mais frequentemente utilizados para contato entre você e a entidade parceira do PPE, FLEM ou FESFSUS","Com que frequência você acompanha o desempenho das atividades dos beneficiários/trabalhadores educandos em sua unidade? das atividades e do desempenho dos jovens em sua unidade?","Em uma escala de 1 a 5, onde 1 é ""nada desafiador"" e 5 é ""extremamente desafiador"", quão desafiador é obter informações sobre o desempenho e a permanência dos beneficiários/trabalhadores educandos no local de trabalho?","Os beneficiários/trabalhadores educandos do PPE são, em geral, proativos em suas atividades","A imaturidade dos beneficiários/trabalhadores educandos é um desafio para o acompanhamento pelo ponto focal","A maioria dos beneficiários/trabalhadores educandos do PPE tem clareza sobre seus objetivos profissionais","Os jovens beneficiários/trabalhadores educandos do PPE se adaptam bem à cultura do serviço público","Os beneficiários/trabalhadores educandos tem boa relação com os demais trabalhadores","Quais são suas principais sugestões para aprimorar o PPE, especialmente nas áreas de acolhimento, articulação, comunicação e acompanhamento?","Você identifica alguma ""inconformidade"" ou aspecto do PPE que precise de atenção urgente ou mudança estrutural? Se sim, por favor, descreva"
"2025/09/17 8:31:49 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","3","Ausência de contato direto com a gestão da FESF SUS; onde no HGESF ocorre através do RH. ","Acolhimento, Orientação e Coordenação.","5","Sim","É fundamental","Com todo cuidado, orientação e atenção","1","Todo contato ocorre através do RH da Unidade. A gestão atual sequer responde WhatsApp ou atende as ligações. ","Diariamente","1","5","2","5","4","5","Considero fundamental a melhoria da comunicação entre as Coordenações. ","Relação entre as gestões/coordenações. 
O Rh da Unidade não pode responder pela Coordenação do Setor, no qual se encontra o beneficiário do programa. "
"2025/09/17 10:20:05 AM GMT-3","5","Desde o acolhimento ao processo de término de contrato.","3","Situações de não pagamento de vale transporte no período adequado; possível incompatibilidade para cumprimento da escala de serviço; não adequação às normas da instituição.","Acolhimento do novo colaborador; capacidade de dialogar e intermediar situações; estar à disposição para auxiliar em demandas.","4","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","3","Whatsapp","Não há uma periodicidade exata.","4","4","2","4","4","4","Acredito que seria interessante que o ponto focal tivesse acesso às informações ou resoluções de situações referentes ao portal RH, como por exemplo confirmação de programação de férias ou até mesmo o envio de registros de acidentes de trabalho.","Alguns trabalhadores educandos têm questionado quanto ao atraso do pagamento de vale transporte."
"2025/09/17 12:49:27 PM GMT-3","5","Acolhimento e integração dos jovens","4","1 - Não ter concurso público. Para aervidores.
2 -  A forma de escolha de participar  no PPE.
3 - Avaliar a cada 6 meses os participantes.","1 - O acolhimento  e orientação. 
2 - O diálogo  permanente.
3 - O contato direto.","4","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Mensalmente","4","5","5","3","4","4","Ter contato permanente. ","não "
"2025/09/17 2:21:40 PM GMT-3","4","Acompanhamento do desempenho e frequência dos jovens","5","Nenhum.","Diálogo, orientação e acolher ","4","Talvez","É fundamental","Apresentação formal à equipe","5","Whatsapp","Mensalmente","3","5","4","4","5","5","Interagir mais ","Não "
"2025/09/17 3:32:46 PM GMT-3","3","Acolhimento e integração dos jovens","1","Nenhum ","Nenhuma ","3","Talvez","Contribui em alguma medida","Apresentação formal à equipe","3","Whatsapp","Nao acompanho","3","5","3","3","4","4","Nao tenho sugestão ","Prefiro nao opinar"
"2025/09/17 3:35:04 PM GMT-3","3","Orientação e supervisão direta das atividades dos jovens","5","Falta de responsabilidade,Falta de  iniciativa, brincadeira em excesso.","Facilidade em ensinar, Sempre prestativo, Respeito ","4","Talvez","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Diariamente","4","2","2","4","3","5","Acompanhamento maior do supervisor do programa PPEs com os mesmos; Maior rigidez na cobrança com os PPEs.","Sim. Deveria ter um acompanhamento mais próximo do Supervisor com as chefias imediatas. "
"2025/09/17 4:49:40 PM GMT-3","4","Orientação e supervisão direta das atividades dos jovens","4","Pessoas com dificuldade de execução das atividades esperadas ","Bom contato com responsável direto, ","4","Sim","Contribui em alguma medida","Participação em eventos de integração","4","Whatsapp","Diariamente","1","3","4","3","4","4","Melhor tempo de integração ","Não "
"2025/09/17 5:22:51 PM GMT-3","4","Acompanhamento do desempenho e frequência dos jovens","4","falta de diálogo, interaçâo, criatividade","A comumicação a motivação e bem estar no ambiente de trabalho","3","Sim","Contribui em alguma medida","Acompanhamento por um profissional/colega ou servidor mais experiente","3","E-mail","Diariamente","3","3","3","3","3","4","O conhecimento é fundamental","nâo"
"2025/09/17 7:56:39 PM GMT-3","5","Acolhimento e integração dos jovens","3","Gerenciar os conflitos interpessoais ","Os jovens geralmente tem facilidade para aprender e isso torna melhor o nosso trabalho ","5","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Mensalmente","3","3","4","3","3","3","Deveria ter algum projeto visando a integração entre eles no ambiente de trabalho","Precisa organizar melhor na distribuição dos uniformes e crachás e depois ao final dos contratos ja que solicitam a devolução de uniformes e crachas que se responsabilizem por levar de volta para Salvador ou dar oitro destino."
"2025/09/18 7:04:11 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Orientação constante 
Estímulo para interesse das atividades do trabalho no cotidiano
Demonstrar a importância das atividades em foco não como uma rotina mas como importância da atividade a exercer","Supervisão 
Orientação 
Estímulo no desenvolvimento das atividades do cotidiano ","4","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","1","E-mail","Diariamente","4","5","4","4","4","4","Estímulo e valorização dos mesmos da do foco a importância e possível estabilidade. ","Não "
"2025/09/18 9:41:29 AM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","2"," Não temos desafios no momento, a equipe de PPE e excelente e comprometida.","Na unidade da qual faço  temos a possibilidade de remanejar o PPE de setor quando ele não se adapta .","5","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","1","5","1","5","5","5","O Projeto é excelente ,no momento não tenho sugestões para aprimorar.","No momento não."
"2025/09/18 2:02:51 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Mediar as relações interpessoais entre os PPE's e Coordenações de setores;
Controlar a frequência;
Acompanhar e orientar sobre questões comportamentais.","O pronto atendimento dos monitores quando solicitados, bem como, da equipe Multi disciplinar na resolução das demandas encaminhadas.","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","3","3","4","3","3","3","Sem sugestões.","Criação de normas e critérios para desligamento ou afastamento, quando o não enquadramento dos beneficiários."
"2025/09/18 2:45:58 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","2","Falta de diálogo entre os focais e os coordenadores do projeto.","Facilidade de comunicação com os TE's","5","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","2","Whatsapp","Diariamente","2","4","1","5","5","5","Mais treinamentos.","A comunicação do ponto focal com os coordenadores."
"2025/09/18 3:09:55 PM GMT-3","4","Orientação e supervisão direta das atividades dos jovens","4","dificuldade em lidar com alguns PPE/Avaliar aquele que tem dificuldade em desenvolver atividades/manter a harmonia entre PPE e demais técnicos","muito diálogo/interação e disponibilidade para ouvi-los","4","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","4","E-mail","Diariamente","4","3","5","4","3","4","Penso que melhorar os critérios de seleção/aquele que não está sendo bem avaliado, não renovar contrato","Atentar-se para a avaliação"
"2025/09/18 3:40:59 PM GMT-3","3","Acolhimento e integração dos jovens","1","1 COLOCAR EM LOCAL ADEQUADO","1RECEBE-LOS
","4","Talvez","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","1","E-mail","NUNCA","5","3","3","3","5","5","ESCLARECER PARA O PPE QUE É CONTRATO TEMPORARIO","NÃO POSSO QUERER MUDAR UM PROGRAMA POR UMA INCONFORMIDADE QUE ACONTECE NO MEU SETOR."
"2025/09/19 9:13:28 AM GMT-3","5","Acolhimento e integração dos jovens","5","Pouca frequência dos supervisores regionais, 
Disponibilidade de colaboradores na área de enfermagem","Boa adaptação dos colaboradores do PPE
Assiduidade e disponibilidade para desempenho das funções
Bom comportamento e atenção com todos  ","5","Talvez","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","4","5","4","4","5","5","Um acompanhamento presencial da supervisão regional com mais frequência, para dialogo  e orientações para os colaboradores bem com aos gestores ","Precisam considerar que nem todos os colaboradores tem a mesma estrutura física corporal, e geralmente manda as blusas só M, G. ´faz se necessário buscar saber o tamanho de cada colaborador pra mandar as blusas, (tenho um colaborador aqui que é tamanho Extra G, ""GGG"" e não tem farda.    "
"2025/09/19 11:09:05 AM GMT-3","5","Item 1,3 e 4 ","3","Melhorias na intermediação da comunicação com o órgão e coordenadores do estabelecimento de saúde. ","Observar o desenvolvimento e melhoria do desempenho dos Técnicos Educandos. ","3","Sim","Contribui em alguma medida","Um pouco de cada item, porém ocorre em um período mais dilatado. Além disso, quando ocorre a comunicação prévia do encaminhamento do Técnico Educando permite uma melhor organização para seu acolhimento. ","3","WhatsApp e E- mail. ","Esse acompanhamento é feito de forma mais específica através dos coordenadores dos diferentes setores. ","4","4","3","4","4","4","Que seja realizado pelo menos um evento por semestre envolvendo a participação da FESF,
dos Técnicos Educandos, Pontos focais e coordenadores que tem em suas equipes integrantes do Programa. ","A questão do envio da comunicação prévia indicando a data de início/ encaminhamento de Técnicos Educandos ao estabelecimento de Saúde, com vistas a obter melhorias nos processos de acolhimento e integração dos mesmos. "
"2025/09/19 11:14:54 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","4","Equilibrar várias demandas e prazos concorrentes, manter o engajamento das partes envolvidas e garantir que todos sigam o mesmo direcionamento ao longo do tempo","Desenvolver resultados da organização, através do ensino e desenvolvimento do jovem.","5","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","4","E-mail","Semanalmente","3","1","5","1","3","3","Monitorar e avaliar continuamente o desenvolvimento das ações previstas no PPE; Criação de indicadores claros de acompanhamento (quantitativos e qualitativos) alinhados às metas do PPE.","Não"
